ts,Boiler B1 Power,Boiler B2 Power,Boiler B3 Power,Gasifier Steam Power,Cogen Steam Power,Cogen HW Power,AFS HW Power,Cogen Economizer Stage 1,Cogen Economizer Stage 2,Gasifier Economizer Stage 1,Gasifier Economizer Stage 2
2020-10-23T00:00:00-07:00 Los_Angeles,11.727389082025613MW,9.66073975522488MW,0.8071250127017049MW,0MW,1.1431853457602368MW,0.21372340342831894MW,"","","","",""
2020-10-24T00:00:00-07:00 Los_Angeles,10.014336993749499MW,9.665240885819548MW,0.05861574126648958MW,0MW,0.9547932781941364MW,0.1814254419464204MW,"","","","",""
2020-10-25T00:00:00-07:00 Los_Angeles,11.61435090670985MW,11.920047642643803MW,0.379805562371319MW,8.483336265877975E-5MW,0.9610363521507962MW,0.14758449252788633MW,"","","","",""
2020-10-26T00:00:00-07:00 Los_Angeles,11.773026829593706MW,11.168118229789885MW,1.509913218954095MW,0MW,1.3638910498311396MW,0.21485686610786994MW,"","","","",""
2020-10-27T00:00:00-07:00 Los_Angeles,10.700897178832049MW,8.933760569175643MW,0MW,6.141153183610489E-5MW,1.131207323420655MW,0.1930777518440866MW,"","","","",""
2020-10-28T00:00:00-07:00 Los_Angeles,10.386188824187817MW,4.0197535515624905MW,0.016708333997262848MW,0MW,1.129763346616592MW,0.19631408977632722MW,"","","","",""
2020-10-29T00:00:00-07:00 Los_Angeles,9.701030257145563MW,3.453214174291051MW,0.04635069575574663MW,0.0015232333881917584MW,0.7034923923327411MW,0.07815654365795595MW,"","","","",""
2020-10-30T00:00:00-07:00 Los_Angeles,10.385299945412969MW,4.4307419799461405MW,0MW,2.1090740726018943E-5MW,1.071784349974461MW,0.1567282115517163MW,"","","","",""
2020-10-31T00:00:00-07:00 Los_Angeles,9.632865929840886MW,6.559311451361931MW,0.01518865773661269MW,0MW,1.0218252264204677MW,0.16204357692661384MW,"","","","",""
2020-11-01T00:00:00-07:00 Los_Angeles,10.383336853732006MW,4.972498956227806MW,0MW,0.12184881618287828MW,1.0558985279626314MW,0.16540383597902125MW,"","","","",""
2020-11-02T00:00:00-08:00 Los_Angeles,11.245846241795359MW,3.089833385222249MW,0.015214120700127549MW,0MW,1.1254394458351589MW,0.1924482304947796MW,"","","","",""
2020-11-03T00:00:00-08:00 Los_Angeles,10.51940295211142MW,4.737879704788876MW,0.016625000660618148MW,0MW,1.1199735027096338MW,0.20513640574822026MW,"","","","",""
2020-11-04T00:00:00-08:00 Los_Angeles,10.693554597673582MW,0.7239143679804961MW,0MW,0.679699807125316MW,0.9625724268504593MW,0.1820729012583831MW,"","","","",""
2020-11-05T00:00:00-08:00 Los_Angeles,9.685066180709322MW,5.49237625008725MW,0MW,1.1468154048302248MW,1.1389079892552567MW,0.20469270390458408MW,"","","","",""
2020-11-06T00:00:00-08:00 Los_Angeles,10.282115920588936MW,9.504574234800204MW,0MW,0.032229286092850896MW,1.2944699639426895MW,0.2123737883715269MW,"","","","",""
2020-11-07T00:00:00-08:00 Los_Angeles,9.795342779634169MW,8.753085820056778MW,0MW,0.36924125205449493MW,1.0739310370509825MW,0.17537195085444385MW,"","","","",""
2020-11-08T00:00:00-08:00 Los_Angeles,11.338038389914558MW,12.451354354686204MW,1.3177893727363292MW,0.03863234930568271MW,1.8040155815098577MW,0.27120406149576115MW,"","","","",""
2020-11-09T00:00:00-08:00 Los_Angeles,12.59841918102018MW,13.756012935621863MW,2.9200938164745454MW,0MW,1.857094446718692MW,0.27351035764095954MW,"","","","",""
2020-11-10T00:00:00-08:00 Los_Angeles,12.246718944311132MW,13.165847428385828MW,0.17495717768290042MW,0MW,1.4031961636452202MW,0.21769782955137387MW,"","","","",""
2020-11-11T00:00:00-08:00 Los_Angeles,11.208165706340917MW,11.907017554596614MW,0MW,0MW,1.4772928404401027MW,0.18870354528780345MW,"","","","",""
2020-11-12T00:00:00-08:00 Los_Angeles,11.851836979135323MW,7.469593870354031MW,6.6988276638259645MW,5.808318322427415E-5MW,1.4196623500629706MW,0.20976271350031575MW,"","","","",""
2020-11-13T00:00:00-08:00 Los_Angeles,10.87343768224673MW,1.605309055324006MW,10.57246547697872MW,0.03326068625750917MW,1.3601467355375223MW,0.20361335963252233MW,"","","","",""
2020-11-14T00:00:00-08:00 Los_Angeles,10.832979364836657MW,0MW,10.134613596857694MW,3.9627727407302393E-4MW,1.0300172104570064MW,0.10081830044104549MW,"","","","",""
2020-11-15T00:00:00-08:00 Los_Angeles,9.530980515551782MW,0MW,8.2831621998107MW,1.21124874567613E-4MW,1.064190645635266MW,0.16291918846666464MW,"","","","",""
2020-11-16T00:00:00-08:00 Los_Angeles,11.294920333414167MW,0.208776623467932MW,10.333171476186441MW,1.21124874567613E-4MW,1.3094459798745812MW,0.2058458303266929MW,"","","","",""
2020-11-17T00:00:00-08:00 Los_Angeles,9.593036066575188MW,0MW,8.221663325048148MW,1.21124874567613E-4MW,1.165836588836241MW,0.20187192921578476MW,"","","","",""
2020-11-18T00:00:00-08:00 Los_Angeles,10.609004806379504MW,0.12492824458318796MW,9.9507547952897MW,0.007066712297942946MW,1.2605795135114466MW,0.21280029315035798MW,"","","","",""
2020-11-19T00:00:00-08:00 Los_Angeles,11.278257134623022MW,0.06875000102445483MW,9.840470081865783MW,0MW,1.274932451345441MW,0.20556597865652296MW,"","","","",""
2020-11-20T00:00:00-08:00 Los_Angeles,10.624570802775825MW,0.14093055791600986MW,9.661363623539595MW,0MW,1.2310107836251458MW,0.21259256017523706MW,"","","","",""
2020-11-21T00:00:00-08:00 Los_Angeles,10.043545315033855MW,0.20000000298023224MW,8.86018071597925MW,0MW,1.0022503866745083MW,0.16507007040807772MW,"","","","",""
2020-11-22T00:00:00-08:00 Los_Angeles,10.776353199515093MW,0.20000000298023224MW,9.824959689665729MW,0MW,1.033372829221879MW,0.16734661115333435MW,"","","","",""
2020-11-23T00:00:00-08:00 Los_Angeles,11.114853204588107MW,1.3304421554505825MW,11.059781453118287MW,5.619456107012445E-4MW,1.3266515217245447MW,0.21595587241851416MW,"","","","",""
2020-11-24T00:00:00-08:00 Los_Angeles,11.164497883375073MW,0MW,10.813534913438364MW,0MW,1.2813551960885534MW,0.2184546632267948MW,"","","","",""
2020-11-25T00:00:00-08:00 Los_Angeles,11.3159874540181MW,0.7914548759474594MW,10.411605505854322MW,0MW,1.2821748623893503MW,0.18350171200775847MW,"","","","",""
2020-11-26T00:00:00-08:00 Los_Angeles,11.444952732468101MW,0.07155787328327144MW,11.16581381340268MW,0MW,1.291535127321603MW,0.175758242160858MW,"","","","",""
2020-11-27T00:00:00-08:00 Los_Angeles,10.610794162292184MW,0.04267245378302134MW,9.21616563947389MW,0.09413842563551884MW,1.2073433521058838MW,0.16230114803735723MW,"","","","",""
